question|answer|user_answer
MLPs are typically trained using batch gradient descent.|False|
In MLP, the learning rate must always be small to ensure convergence.|False|
The cross-entropy loss function used for classification tasks MLP.|True|
Weight initialization MLPs can impact the speed and success of the training process.|True|
MLP cannot be used for multiclass classification problems.|False|
ReLU activation function can cause dead neurons MLP.|True|
Weight sharing a common practice MLPs.|False|
The output layer of MLP for regression problems typically uses no activation function or a linear activation function.|True|
MLP requires labeled data for supervised learning tasks.|True|
In MLP, the sigmoid activation function can lead to gradient saturation problems.|True|
The softmax activation function used MLPs for binary classification problems.|False|
An epoch MLP training consists of one forward and backward pass of all the training samples.|True|
In MLP, the weights are adjusted to minimize the loss function.|True|
Dropout can be applied during the inference phase MLP.|False|
L1 regularization MLP promotes sparsity of the weight matrix.|True|
MLPs are highly sensitive to the choice of hyperparameters.|True|
In MLP, batch normalization applied after the activation function.|False|
MLP can be considered as a universal approximator.|True|
The activation function tanh MLP scales outputs to the range [-1, 1].|True|
MLP can handle both linear and non-linear separable data.|True|
The choice of activation function MLP does not affect the training process.|False|
MLP a type of recurrent neural network.|False|
MLPs are particularly well-suited for time series prediction without any modification.|False|
In MLP, the derivative of the activation function used backpropagation.|True|
A small learning rate can slow down the training of MLP but helps avoiding overshooting the minimum.|True|
Batch normalization helps reducing internal covariate shift MLPs.|True|
Dropout a technique used to increase the complexity of MLP.|False|
Overfitting not a concern MLP when using a large number of neurons hidden layers.|False|
In MLP, vanishing gradient problem occurs more frequently with sigmoid and tanh activation functions compared to ReLU.|True|
MLP cannot be trained using unsupervised learning techniques.|True|
Dropout helps to prevent overfitting by increasing the variance of the model.|False|
MLPs can only approximate linear functions.|False|
Regularization methods like dropout and L2 regularization are used to improve the generalization of MLP.|True|
The input to an MLP can be of variable length.|False|
Early stopping a technique used to prevent overfitting MLP.|True|
The ReLU activation function MLP can output negative values.|False|
Batch gradient descent more commonly used than stochastic gradient descent for training MLPs.|False|
The output of the softmax function MLP sums to 1.|True|
Weight decay another term for L2 regularization MLPs.|True|
An MLP with no hidden layers equivalent to a linear regression model.|True|
MLPs cannot be used for tasks involving image data.|False|
Gradient clipping can be used to mitigate the exploding gradient problem MLPs.|True|
In MLP, each neuron applies a linear transformation followed by a nonlinear activation function to its input.|True|
